sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
1;1;32.5;54.85148515;22.97029703;18.21782178;1.782178218;0.396039604;0;0.594059406;0.198019802;0;0.594059406;0.785854617
2;1.5;82;49.70178926;23.65805169;23.06163022;1.590457256;0.795228628;0;0.198807157;0.198807157;0.198807157;0.198807157;0.984251969
3;2;130;55.15873016;20.63492063;22.02380952;0.992063492;0;0;0.396825397;0.198412698;0.198412698;0;0.591715976
4;2.5;179;58.41584158;17.82178218;20.3960396;0.792079208;0.396039604;0;0.792079208;0.396039604;0.198019802;0.198019802;0.590551181
5;3;228;54.92125984;19.88188976;21.8503937;0.787401575;0.984251969;0;0.393700787;0.590551181;0.196850394;0.393700787;1.167315175
6;3.5;277.5;55.57729941;20.54794521;20.93933464;1.369863014;0.391389432;0;0.195694716;0.195694716;0.195694716;0.195694716;1.160541586
7;4;326;58.76494024;17.52988048;21.51394422;0.199203187;0;0;0.796812749;0.597609562;0;0.199203187;0.594059406
8;4.5;375;55.28942116;18.36327345;22.35528942;1.596806387;0.399201597;0;0.998003992;0.798403194;0;0.199600798;0.988142292
9;5;424;54.27435388;20.67594433;21.27236581;0.994035785;0.596421471;0;0.795228628;0.795228628;0.198807157;0.198807157;0.592885375
10;5.5;473;53.45167653;19.1321499;25.04930966;0.986193294;0;0;0.591715976;0.197238659;0;0.197238659;1.169590643
11;6;521;49.40239044;17.72908367;29.88047809;0.996015936;0.398406375;0.199203187;0.996015936;0.398406375;0;0;1.37524558
12;6.5;570;56.57370518;18.92430279;21.51394422;0.796812749;0.398406375;0;0.597609562;0.597609562;0.199203187;0;1.37524558
13;7;621.5;52.64187867;15.26418787;27.39726027;0.978473581;0.782778865;0.195694716;0.782778865;0.978473581;0.391389432;0.195694716;1.730769231
14;7.5;671;57.42574257;17.62376238;23.36633663;0.594059406;0;0;0.792079208;0;0.198019802;0;0.590551181
15;8;719;53.57142857;17.46031746;24.00793651;2.182539683;0.396825397;0;1.19047619;0.793650794;0;0.396825397;1.176470588
16;8.5;766.5;56.03960396;17.82178218;22.97029703;1.188118812;0.198019802;0;1.188118812;0.198019802;0;0;0.785854617
17;9;814;61.30952381;14.68253968;21.42857143;0.793650794;0.396825397;0;0.793650794;0.396825397;0;0;0.198019802
18;9.5;860;57.93650794;14.28571429;25.3968254;0.595238095;0;0;1.19047619;0.198412698;0.198412698;0;1.176470588
19;10;906;56.54761905;14.48412698;26.58730159;0.992063492;0.396825397;0;0.595238095;0.198412698;0;0.198412698;0.787401575
20;10.5;953;57.68463074;14.97005988;25.1497006;0.798403194;0;0;0.598802395;0.598802395;0.199600798;0;0.988142292
21;11;1002.5;54.8;17.8;25;0.8;0;0.2;1;0.2;0;0;1.185770751
22;11.5;1051;60;15.24752475;22.77227723;0.396039604;0;0.198019802;0.99009901;0.396039604;0;0;1.559454191
23;12;1096;58.3011583;13.51351351;26.64092664;0.965250965;0.193050193;0.193050193;0;0;0;0.193050193;0.766283525
24;12.5;1139.5;62.13592233;12.81553398;23.10679612;0.194174757;0.388349515;0;0.388349515;0.194174757;0.194174757;0.194174757;0.579150579
25;13;1183;58.85826772;10.62992126;26.37795276;1.57480315;0.590551181;0;0.590551181;0.590551181;0.196850394;0.196850394;0.392156863
26;13.5;1233.5;59.96055227;12.62327416;25.64102564;0.591715976;0.394477318;0;0.591715976;0;0.197238659;0;0.782778865
27;14;1281.5;60.15779093;10.65088757;26.23274162;0.986193294;0.197238659;0.394477318;0.591715976;0.394477318;0;0;0.392927308
28;14.5;1331.5;64.1025641;11.24260355;23.66863905;0;0;0;0.591715976;0.197238659;0;0;1.169590643
29;15;1376;64.88095238;13.0952381;20.83333333;0.396825397;0.198412698;0;0.198412698;0.396825397;0;0;0.395256917
30;15.5;1419.5;60.15936255;12.15139442;25.89641434;0;0.199203187;0;0.796812749;0.796812749;0;0;1.761252446
31;16;1467;62.62425447;11.53081511;25.64612326;0.198807157;0;0;0;0;0;0;0.592885375
32;16.5;1512.5;64.87025948;10.77844311;22.15568862;0.798403194;0;0;0.998003992;0;0.199600798;0.199600798;0.988142292
33;17;1562;58.92857143;12.5;27.18253968;0.396825397;0;0;0.198412698;0.198412698;0.198412698;0.198412698;0.395256917
34;17.5;1611;56.4612326;14.31411531;27.23658052;0.397614314;0.198807157;0;0.795228628;0;0.198807157;0.198807157;0.788954635
35;18;1659;63.83399209;7.707509881;25.09881423;1.185770751;0.592885375;0;0.790513834;0.592885375;0;0;0.978473581
36;18.5;1703;62.74900398;13.94422311;22.50996016;0.199203187;0;0;0.398406375;0.199203187;0;0;0.396825397
37;19;1751;58.57988166;12.4260355;26.03550296;1.380670611;0.197238659;0;0.394477318;0.197238659;0;0.394477318;0.588235294
38;19.5;1799;57.14285714;9.325396825;32.14285714;0.992063492;0;0;0.198412698;0;0;0;0.395256917
39;20;1842.5;62.94820717;9.760956175;26.09561753;0.199203187;0;0.199203187;0.398406375;0;0.199203187;0.199203187;0.986193294
40;20.5;1890;65.20874751;11.72962227;21.47117296;0.397614314;0.198807157;0;0.397614314;0.397614314;0;0.198807157;0.592885375
41;21;1938;59.28143713;14.17165669;23.35329341;1.19760479;0.199600798;0;0.598802395;0.598802395;0;0.199600798;0.792079208
42;21.5;1986.5;61.06719368;13.24110672;22.92490119;1.383399209;0.790513834;0;0.197628458;0.197628458;0;0;0.197238659
43;22;2034;59.64566929;13.38582677;22.63779528;2.362204724;0.590551181;0;0.787401575;0.196850394;0;0;0.78125
44;22.5;2077.5;60.3960396;12.67326733;25.14851485;0.792079208;0;0;0.396039604;0;0;0.198019802;1.3671875
45;23;2125;54.89021956;14.37125749;28.54291417;0.798403194;0.199600798;0;0.399201597;0.199600798;0.399201597;0;0.792079208
46;23.5;2171;54.96031746;13.88888889;28.37301587;0.595238095;0.595238095;0;0.595238095;0.198412698;0;0.198412698;1.945525292
47;24;2217.5;57.7689243;12.35059761;27.88844622;0.597609562;0;0.398406375;0.199203187;0.398406375;0;0.398406375;0.198807157
48;24.5;2265;57.08661417;10.43307087;31.1023622;0.393700787;0;0;0.590551181;0.196850394;0.196850394;0;0.78125
49;25;2311;56.2745098;14.90196078;26.8627451;1.176470588;0;0;0.392156863;0.196078431;0;0;0.970873786
50;25.5;2356;55.84158416;11.68316832;30.4950495;0.594059406;0.198019802;0;0.99009901;0.198019802;0;0;0.980392157
51;26;2402;66.40159046;10.33797217;21.66998012;0.795228628;0.198807157;0;0.198807157;0.198807157;0;0;0.984251969
52;26.5;2447.5;59.6;12.2;25.4;1;0;0.2;0.4;0.4;0.4;0;1.380670611
53;27;2504;57.17131474;10.75697211;29.48207171;1.394422311;0;0;0.597609562;0.398406375;0;0.199203187;0.986193294
54;27.5;2576.5;60.67864271;11.37724551;26.94610778;0.798403194;0;0;0.199600798;0;0;0;1.377952756
55;28;2627;57.05765408;12.32604374;28.62823062;1.789264414;0;0;0;0;0;0.198807157;1.56555773
56;28.5;2660;57.37051793;11.35458167;29.08366534;0.996015936;0.199203187;0.199203187;0;0.597609562;0;0;0.396825397
57;29;2686;56.34920635;12.1031746;27.38095238;1.19047619;0.396825397;0;0.793650794;0.595238095;0.198412698;0.198412698;0.591715976
58;29.5;2711;55.77689243;11.95219124;29.88047809;0.996015936;0.199203187;0;0.996015936;0;0;0;0.396825397
59;30;2738;55.55555556;12.6984127;29.96031746;0.793650794;0.198412698;0;0.198412698;0.396825397;0;0;1.176470588
60;30.5;2764;54.09181637;12.5748503;31.13772455;1.596806387;0.399201597;0.199600798;0;0;0;0;0.988142292
61;31;2792;54.47619048;14.0952381;29.14285714;0.761904762;0.19047619;0.19047619;0.380952381;0.571428571;0;0;0.379506641
62;31.5;2819;52.81553398;13.98058252;30.29126214;1.941747573;0;0;0.582524272;0.388349515;0;0;0.386847195
63;32;2844.5;53.17460317;16.07142857;29.16666667;1.19047619;0;0;0.198412698;0;0;0.198412698;0.395256917
64;32.5;2869;58.28460039;15.20467836;24.17153996;0.584795322;0.194931774;0;0.389863548;0.389863548;0.194931774;0;1.156069364
65;33;2894.5;59.85267035;12.3388582;25.41436464;1.104972376;0.184162063;0;0.552486188;0.184162063;0;0.184162063;0.366972477
66;33.5;2918.5;61.70634921;11.30952381;24.00793651;1.19047619;0;0;0.396825397;0.396825397;0;0.595238095;1.5625
67;34;2945;59.92063492;11.11111111;25.79365079;0.992063492;0.396825397;0;0.793650794;0.595238095;0;0.396825397;0.982318271
68;34.5;2971.5;53.11111111;14.44444444;30.22222222;0.444444444;0;0;0.444444444;1.111111111;0;0;0.442477876
69;35;2999.5;59.09090909;13.04347826;24.90118577;1.185770751;0.395256917;0;0.790513834;0.197628458;0;0.395256917;1.171875
70;35.5;3023.5;59.76095618;11.75298805;26.09561753;1.195219124;0.199203187;0;0.398406375;0.398406375;0;0.199203187;1.181102362
71;36;3051;58.0270793;12.37911025;28.04642166;0.386847195;0;0;0.580270793;0.193423598;0.193423598;0;1.147227533
72;36.5;3076;62.74900398;9.163346614;25.09960159;1.593625498;0.796812749;0;0.199203187;0;0.199203187;0.199203187;0.986193294
73;37;3102;57.50988142;13.43873518;26.48221344;0.988142292;0.197628458;0;0.395256917;0.197628458;0.395256917;0.395256917;1.171875
74;37.5;3127;59.2445328;13.12127237;25.04970179;1.590457256;0.198807157;0;0.198807157;0.397614314;0;0.198807157;0.396039604
75;38;3150.5;53.07692308;13.46153846;30.38461538;1.730769231;0;0.192307692;0.576923077;0.192307692;0;0.192307692;0.763358779
76;38.5;3178;53.22896282;13.3072407;30.52837573;1.369863014;0.195694716;0;0.587084149;0.391389432;0;0;0.776699029
77;39;3205;51.93370166;11.78637201;33.5174954;2.025782689;0;0;0.368324125;0;0;0.184162063;0.183823529
78;39.5;3233.5;56.88622754;14.37125749;27.34530938;0.598802395;0.199600798;0;0.399201597;0.199600798;0;0;0.595238095
79;40;3261;62.42544732;13.71769384;21.66998012;0.795228628;0.198807157;0;0.596421471;0.397614314;0;0.198807157;0.984251969
80;40.5;3288;61.50793651;13.88888889;22.81746032;0.396825397;0.198412698;0;0.595238095;0.198412698;0.198412698;0.198412698;0.787401575
81;41;3316;64.75247525;10.4950495;22.97029703;0.396039604;0.198019802;0;0.396039604;0;0;0.792079208;1.3671875
82;41.5;3344;63.28125;9.765625;24.8046875;0.78125;0;0;0.78125;0.390625;0.1953125;0;0.775193798
83;42;3369.5;64.08730159;12.6984127;19.84126984;0.992063492;0.396825397;0;0.793650794;0.595238095;0.198412698;0.396825397;0.787401575
84;42.5;3398;59.95575221;13.49557522;24.33628319;1.10619469;0.221238938;0;0.221238938;0.221238938;0.221238938;0.221238938;1.094091904
85;43;3423;58.64811133;9.145129225;29.82107356;0.994035785;0.198807157;0;0.795228628;0;0;0.397614314;0.396039604
86;43.5;3449;56.39534884;10.07751938;30.23255814;0.775193798;0.581395349;0;1.162790698;0.387596899;0;0.19379845;0.193423598
87;44;3476;60.58823529;12.74509804;23.1372549;1.568627451;0.784313725;0;0.588235294;0.196078431;0;0.392156863;1.544401544
88;44.5;3499.5;56.89320388;13.78640777;25.4368932;1.165048544;0.776699029;0;1.165048544;0.582524272;0;0.194174757;1.151631478
89;45;3528.5;58.93909627;13.94891945;24.36149312;0.982318271;0.392927308;0;0.392927308;0;0;0.589390963;1.356589147
90;45.5;3563;59.29549902;12.72015656;24.85322896;1.56555773;0;0;0.782778865;0.195694716;0;0.391389432;1.541425819
91;46;3599;57.02970297;12.27722772;27.72277228;1.386138614;0.396039604;0.198019802;0.198019802;0.198019802;0;0.396039604;0.980392157
92;46.5;3645;59.5463138;11.53119093;25.8979206;1.512287335;0.189035917;0.378071834;0.378071834;0.378071834;0;0.189035917;0.376647834
93;47;3692.5;54.34782609;12.45059289;29.84189723;1.383399209;0;0.395256917;0.988142292;0;0;0.395256917;0.589390963
94;47.5;3738;58.82352941;10.19607843;29.41176471;0.588235294;0.196078431;0.196078431;0.392156863;0.196078431;0;0;0.970873786
95;48;3781;58.05168986;9.741550696;28.2306163;1.391650099;0.198807157;0.397614314;0.596421471;0.397614314;0.198807157;0.596421471;0.984251969
96;48.5;3825.5;59.04572565;10.73558648;29.22465209;0.596421471;0;0;0.198807157;0.198807157;0;0;0.788954635
97;49;3868;58.92857143;14.68253968;24.20634921;0.595238095;0.198412698;0.198412698;0.198412698;0.595238095;0;0;1.176470588
98;49.5;3911;62.37816764;12.47563353;22.61208577;0.974658869;0;0.194931774;0.389863548;0;0.194931774;0.389863548;0.581395349
99;50;3956;56.32411067;11.06719368;30.43478261;1.185770751;0;0;0.592885375;0;0.197628458;0;0.784313725
100;50.5;4000;53.17460317;13.0952381;32.93650794;0.396825397;0;0;0.396825397;0;0;0;0.395256917
101;51;4045;55.51181102;11.41732283;32.08661417;0.787401575;0;0;0.196850394;0;0;0;0.78125
102;51.5;4088.5;55.47169811;9.811320755;32.83018868;1.320754717;0;0;0.377358491;0.188679245;0;0;0.74906367
103;52;4132.5;56.09284333;12.37911025;28.62669246;1.934235977;0.193423598;0.193423598;0.193423598;0;0;0;0.193050193
104;52.5;4176.5;55.95238095;12.8968254;29.76190476;1.19047619;0;0;0;0;0;0.198412698;0.395256917
105;53;4221;60.1532567;10.53639847;28.35249042;0.383141762;0;0;0.191570881;0.191570881;0;0.191570881;0.191204589
106;53.5;4265;59.88142292;9.090909091;28.85375494;1.581027668;0;0;0.197628458;0.197628458;0;0.197628458;0.589390963
107;54;4311;58.1920904;11.67608286;27.87193974;1.31826742;0;0;0.376647834;0.188323917;0;0.376647834;0.561797753
108;54.5;4365;57.25338491;14.70019342;26.49903288;0.967117988;0;0;0;0.193423598;0;0.386847195;0.576923077
109;55;4425;59.40594059;11.88118812;27.72277228;0.99009901;0;0;0;0;0;0;0.785854617
110;55.5;4471;57.11500975;12.86549708;28.07017544;1.169590643;0;0;0.194931774;0.194931774;0;0.389863548;1.156069364
111;56;4515.5;57.41811175;9.055876686;30.82851638;1.541425819;0.385356455;0;0.192678227;0.192678227;0;0.192678227;0.383877159
112;56.5;4558;53.37186898;14.45086705;29.86512524;1.541425819;0.192678227;0;0.192678227;0.192678227;0;0.192678227;0.764818356
113;57;4601.5;53.06930693;14.05940594;30.4950495;1.188118812;0.198019802;0;0.198019802;0.198019802;0;0;0.394477318
114;57.5;4643;57.33855186;12.32876712;26.61448141;1.761252446;0.587084149;0.195694716;0.587084149;0.195694716;0;0.195694716;0.389863548
115;58;4684;91.28919861;4.529616725;1.742160279;1.045296167;0;0.348432056;0.696864111;0.348432056;0;0;1.034482759
